"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4850","products Select 1 prod","Main page tests","2026-08-17","passed","2026-08-17","","","",""
"","13499","Submit empty form shows validation error","Contuct us page tests","2026-08-17","passed","2026-08-17","","","",""
"","13072","Changing AI model updates pressed state for each available model","Ai block tests on VoiceAi page","2026-08-17","passed","2026-08-17","","","",""
"","5995","Voice Filter works","Communication page tests","2026-08-17","passed","2026-08-17","","","",""
"","3241","Select Accounting and Finance filter option","Integrations page tests","2026-08-17","passed","2026-08-17","","","",""
"","1774","Footer social icons are visible and link to correct URLs","Main page tests","2026-08-17","passed","2026-08-17","","","",""
"","11719","SIP filter works","Communication page tests","2026-08-17","passed","2026-08-17","","","",""
"","18036","Clicking Asana opens Asana article","Integrations page tests","2026-08-17","failed","2026-08-17","","","",""
"","9767","Changing value","Main page tests","2026-08-17","passed","2026-08-17","","","",""
"","5101","Search Asana in a search field","Integrations page tests","2026-08-17","passed","2026-08-17","","","",""
"","8012","Submit an empty AI chat message shows error massage","Ai block tests on VoiceAi page","2026-08-17","passed","2026-08-17","","","",""
"","13583","successfully send a chat message to AI","Ai block tests on VoiceAi page","2026-08-17","passed","2026-08-17","","","",""
"","1167","Speech To Text option displays 3 model options","Ai block tests on VoiceAi page","2026-08-17","passed","2026-08-17","","","",""
"","2964","Tab menu filter","Communication page tests","2026-08-17","passed","2026-08-17","","","",""
"","3326","SELECT USE CASE products","Main page tests","2026-08-17","passed","2026-08-17","","","",""
"","7430","SMS Filter works","Communication page tests","2026-08-17","passed","2026-08-17","","","",""
"","14081","Products dropdown menu opens and at least 1 option is visible","Main page tests","2026-08-17","passed","2026-08-17","","","",""
"","14353","Submiting empty Download pricing form shows an error","Elastic SIP page test: ","2026-08-17","passed","2026-08-17","","","",""
"","11476","Submit form with valid data submited without an error","Contuct us page tests","2026-08-17","passed","2026-08-17","","","",""
"","4453","Number type Filter","Communication page tests","2026-08-17","passed","2026-08-17","","","",""
